id;Aerodynamics;Aerospace Propulsion;Aircraft Structures;Flight Mechanics;Spacecraft Design;Astrodynamics;Control Systems;Thermodynamics;Fluid Mechanics;Materials Science
a806;16;17;14;14;15;17;15;18;17;11
a522;14;13;12;11;11;16;16;13;13;12
a350;14;19;16;17;20;16;13;17;17;20
a684;19;16;13;15;12;14;16;17;10;12
a560;10;18;12;19;13;14;11;10;13;17
a850;14;17;14;11;13;10;18;17;15;12
a492;18;18;14;15;12;20;13;19;15;18
a771;17;18;14;16;14;17;14;13;17;11
a280;12;17;19;20;13;18;11;17;19;12
a827;17;11;20;18;19;13;11;10;15;12
a208;12;11;12;20;20;16;11;18;20;18
a702;18;12;19;14;13;20;11;10;19;11
a341;14;16;12;16;12;20;16;15;18;19
a718;20;12;19;20;17;10;13;19;17;18
a699;17;14;19;11;12;14;19;12;11;18
a558;15;15;11;14;16;20;18;17;14;13
a595;20;12;14;13;14;19;15;20;18;16
a509;10;16;17;14;10;13;15;15;11;20
a359;13;19;11;16;12;16;11;10;14;10
a178;16;18;19;16;16;15;12;15;17;16
a406;17;10;20;17;13;14;10;10;15;20
a703;10;12;12;12;10;20;14;17;12;15
a491;15;10;12;18;14;17;12;11;13;17
a874;19;17;15;18;15;11;11;17;16;14
a707;19;14;15;16;13;18;16;13;15;10
a464;16;19;17;15;11;20;10;12;11;10
a870;13;14;19;12;14;20;16;16;14;16
a698;13;16;15;13;11;12;14;11;14;11
a791;17;17;14;16;16;14;15;10;17;18
a719;17;20;12;14;15;11;14;12;15;17
